Model_ID,Case_Name,ai_facts,ai_issue,ai_decision,ai_reasons,ai_ratio,human_facts,human_issue,human_decision,human_reasons,human_ratio,facts_similarity,issue_similarity,decision_similarity,reasons_similarity,ratio_similarity
OPENAI.gpt-4o,Just v British Columbia,"The facts of Just v. British Columbia are not publicly available in a readily accessible, standardized format that can be extracted into a case brief.  Therefore, I don't have the necessary information to create a JSON formatted case brief.",I don't know,I don't know,I don't know,I don't know,"Heavy snow fall forced Just and his daughter to stop in a line of traffic by a rocky slope on a major highway.  A boulder, which worked loose from the wooded slopes above the highway, came crashing down on the appellant's car, killing the appellant's daughter and causing him very serious injuries.  Just brought an action against the provincial government contending that the government negligently failed to properly maintain the highway.
The Department of Highways had set up a system for inspection and remedial work upon rock slopes.  Inspection and recommendations were made by engineers and the work was effected by a rock scaling crew responsible for performing remedial work throughout the entire province.  The department's practice had been to make visual inspections from the highway unless rock falls or a history of instability in an area indicated a need for the rock engineer to climb the slope.  Numerous informal inspections were carried out by highway personnel as they drove along the road.
The trial judge found that the entire system of inspection and the way it was implemented was a policy matter which did not give rise to liability. No finding was made as to whether or not the system of inspection was reasonable or whether the inspections themselves were properly carried out. The Court of Appeal upheld the finding of the trial judge and Just appealled to the Supreme Court.","Is the government under a duty of care to maintain the highways and if so, are they liable if the highways are not sufficiently maintained?","Appeal allowed, new trial ordered.","Cory, writing for the majority, held that the province owes a duty of care, which ordinarily extends to their reasonable maintenance, to those using its highways.  The Department of Highways could readily foresee the risk that harm might befall users of a highway if it were not reasonably maintained.  That maintenance could be found to extend to the prevention of injury from falling rock.
Government agencies may be exempt from the application of the traditional tort law duty of care if an explicit statutory exemption exists or if the decision arose as a result of a policy decision.  Whether or not a decision is characterized as a policy decision or as an operational decision rests on the nature of the decision and not on the identity of the actors.  Generally, decisions concerning budgetary allotments for departments or government agencies should be classified as policy decisions.  A policy decision may be open to challenge on the basis that it is not made in the bona fide exercise of discretion.  If after due consideration it is found that a duty of care is owed by the government agency and no exemption by way of statute or policy decision-making is found to exist, a traditional torts analysis ensues (as per
Anns v Merton London Borough Council
) and the issue of standard of care required of the government agency must next be considered.  The manner and quality of an inspection system, since it was clearly part of the operational aspect of a governmental activity, should be assessed when consideration is given to the standard of care issue.  At this stage, the requisite standard of care must be assessed in light of all the surrounding circumstances including budgetary restraints and the availability of qualified personnel and equipment.
Sopinka, in the dissent, held that the government had the power to carry out the inspections but was under no duty to do so.  Conduct within the limits of this discretion gives rise to no duty of care; conduct outside of these limits may attract a private law duty of care.
A litigant may not attack a policy and it is not appropriate for a Court to pass on it, absent evidence that a policy was adopted for some ulterior motive and not for a municipal purpose.  In order for a private duty to arise, it would have to be shown that the Rockwork Section acted outside its delegated discretion to determine whether to inspect and the manner in which the inspection is to be made.  Policy decisions are immune from review because they usually entail not only a decision to do something but also some call upon the public purse.  The government was acting within its discretion when it decided that inspections should be done and the manner in which they were to be done.  Responsibility for deciding the extent to which the inspection program was to be implemented was delegated to the Rockwork Section.","The duty of care should apply to a public authority unless there is a valid basis for its exclusion.
Policy decisions – the decision by the government about what acts to perform under a given statute – are exempt from liability; operational decisions – the decision by the government about how to perform those acts once they have been decided - are not exempt from liability.",0.32503002882003784,0.08884567022323608,-0.03313105180859566,0.02458004653453827,-0.006424511782824993
OPENAI.gpt-4o,Machtinger v HOJ Industries Ltd.,"The plaintiff, Machtinger, was an employee of HOJ Industries Ltd.  He was dismissed from his position as a foreman.  The dismissal was without notice and without a hearing or opportunity to be heard.  The dismissal was based on allegations of negligence and the lack of 'cooperation'.","Was the dismissal of the employee, without a hearing or notice, fair and reasonable in the circumstances?",The dismissal was held to be unfair.,"The Court of Appeal found that, in the circumstances, an opportunity to be heard was a fundamental requirement of natural justice.  Given the serious allegations and the potential impact of the dismissal on the employee's reputation and future employment prospects,  a pre-dismissal hearing was essential.  The employer had not met this requirement.","An employer must provide an opportunity to be heard before dismissing an employee, particularly where serious allegations are made.  The need for a hearing is even more pronounced when the dismissal may significantly damage the employee's reputation and future employment opportunities.  Dismissal without such a hearing violates principles of natural justice.","Both appellants began working for HOJ Industries, a car dealer, in 1978, and were discharged in 1985 without cause.  At the time they were dismissed Machtinger was credit manager and rust‑proofing sales manager and Lefebvre was sales manager.  Each had entered into a contract for employment for an indefinite period which contained a clause allowing the respondent to terminate his employment without cause, in Machtinger's case without notice and in Lefebvre's case on two weeks' notice.  Under the provincial
Employment Standards Act
the appellants were entitled to a minimum notice period of four weeks.  After they were dismissed, the respondent paid each of them the equivalent of four weeks' salary.  The appellants brought action for wrongful dismissal and the trial judge found that they were entitled to reasonable notice of termination, and that the period of reasonable notice for Machtinger was 7 months and for Lefebvre, 7½ months, however this was overturned by the Court of Appeal.",What should the notice period be in order to terminate employment if notice required in employment contract violates legislated standards?,"Appeal allowed, lower court judgment restored.","McLachlin, writing a concurring judgment, examined the legal principles governing the implication of terms.  She identifies three types of implied terms:
terms implied by fact (intention required);
terms implied by law (no intention required); and
terms implied by custom and usage,
and identifies #2 as the type the courts will read into a contract.  Implication of law can be from custom, for business efficiency (what is necessary in a contract), or what is reasonable (from Denning's dissent in
Liverpool City Council v Irwin
).
She finds that the Court of Appeal erred in characterizing a term implied in law as a term implied in fact, which brought in the intentionality of the parties.  Holding that the employer had a legal obligation to provide reasonable notice and that this can only be displaced by an express contrary agreement, the court imposed a reasonable term of notification on HOJ; HOJ industries.","Terms can be implied by the court based on:
custom or usage;
if necessary for business efficacy;
legal incidents of a particular class of contract.",0.7405223846435547,0.43361958861351013,0.5359843373298645,0.5074770450592041,0.23180076479911804
OPENAI.gpt-4o,Homex Realty and Development Co. Ltd. v Wyoming (Village),"Homex Realty and Development Co. Ltd. (Homex) sought to develop a residential project in the Village of Wyoming. The Village Planning Board initially approved Homex's preliminary plat. However, subsequent amendments to the zoning ordinance increased the required lot size and imposed other conditions, rendering the project economically infeasible.  Homex challenged the amendments as applied, arguing they violated the contract implied by the initial approval.  The exact specifics of the initial approval are not completely clear from the limited information and may not be essential to the core legal arguments presented.","Whether amendments to a zoning ordinance, enacted after initial approval of a development plan, constituted an unconstitutional taking of property by the Village of Wyoming?",The Court found in favor of the Village.,"The court reasoned that the amended zoning ordinance did not violate any specific promises made by the Village as a result of the preliminary plat approval.  The initial approval was not interpreted as creating a binding contract, precluding the Village from adjusting zoning regulations in the public interest. The court also considered the flexibility required in zoning regulations to adapt to evolving needs and the public interest. The developers’ argument of detrimental reliance was not supported by the court's analysis.","Zoning regulations can be amended to address evolving community needs and public interests, even if those amendments render a pre-existing development plan economically unviable.  Initial approvals of development plans do not, by themselves, create binding contracts precluding future legislative adjustments to zoning regulations.","As a condition of registration of a plan of subdivision in the Village of Wyoming, Atkinson, the owner and subdivider of the parcel of land, entered into an agreement with the Village for the installation of municipal services in the subdivision. This agreement, dated January 22, 1968, and registered September 26, 1975, provided in a general way for the owner's providing ""all the requirements financial and otherwise, of the Corporation re surfacing of roads, installation of services and drainage"". The agreement also prevented the sale of the lands in question until the agreement had been fully carried out, except with the consent of the Village, but the provision did not provide that consent would operate to release Atkinson from his obligation to the Village. Before any services were installed, Homex bought the great majority of the lots on the subdivision with the Village's consent. There was some question as to whether or not Homex had undertaken to assume the obligations of the original subdivider. Nevertheless, when protracted negotiations between the Village and Homex concerning the installation of services proved fruitless, the Village, in April 1976, pursuant to s. 29(3) (now
s. 50(3)
) of the
Planning Act
and without notice to Homex, enacted by-law 7 deeming the lots purchased by Homex not to be a registered plan of subdivision. Homex, in September 1976, made application for judicial review for an order quashing by-law 7 and, while the application was pending, checkerboarded its lots.
In November 1975, Homex and the Village negotiated the installation of services along the only street requiring them. By-law 6, enacted in December 1975, provided that it was the policy of the Village that it would neither assume responsibility for a water pipeline constructed by Homex nor permit its connection to the municipal water supply system. Homex coupled an application in judicial review to quash by-law 6 with the application for an order to quash by-law 7.","What qualifies as a ""legislative"" decision such that no duty of procedural fairness applies?",Appeal dismissed.,"Estey, writing for the majority, held that while the passage of By-law 7 had some characteristics of a community interest, it was also clearly the culmination of the dispute between the village and Homex.  As a result he found that the decision was quasi-judicial such as to attract the principle of notice and the doctrine of
audi alteram partem
.  Despite this, however, he held that the conduct of Homex to rid itself of the obligations under the agreement with Atkinson were such that it should be denied a discretionary remedy.  There was also no basis to challenge By-law 6 as it simply stated the facts of the agreement with Atkinson.
Dickson, in the dissent, is quoted:
The courts long ago developed the general proposition that wherever a statute authorizes the interference with property or other rights and is silent as to whether or not the agency in question is required to give notice prior to the intervention in such rights, the courts will ""supply the omission of the legislature"" and require the agency in question to afford the subject an opportunity of being heard before it proceeds.
He held that an act could not be labelled ""legislative"" merely for the purpose of dispensing with fairness. It was not particularly important that the function of the municipality was classified as ""legislative"" or ""quasi-judicial"", rather, it was necessary to look at the nature of the function and to the facts of each case. The by-law in question was not of wide and general application, but was rather aimed at deliberately limiting the rights of Homex, entitling it to some procedural safeguards - at a minimum, notice of the proposed by-law and the opportunity to be heard.","In general, the courts have not imposed procedural requirements on the subordinate law-making function.
The facts of each case are key to determining the level of procedural fairness required.",0.7950928211212158,0.3204961121082306,0.29096701741218567,0.5982317924499512,0.24752995371818542
OPENAI.gpt-4o,Bell Canada v Canadian Telephone Employees Association,"Bell Canada, a telecommunications company, and the Canadian Telephone Employees Association (CTEA) were engaged in collective bargaining.  The CTEA sought to improve wages and working conditions for its members.  Negotiations stalled.  The CTEA called a strike.  Bell Canada sought an injunction to prevent the strike, arguing that it would cause significant economic harm.  The issue concerned the legality of the strike, the potential harm to the public, and the balance between employee rights and the employer's interest.",Was the proposed strike by the CTEA lawful under the relevant labour laws?,The strike was deemed unlawful.,"The court found that the strike was not justified under the existing collective bargaining framework.  The CTEA had not exhausted all reasonable avenues for negotiation, and the strike was deemed premature.  The court balanced the employees' interests in improved working conditions with the public interest in maintaining essential telecommunications services.  The potential harm to the public, due to the essential nature of telephone services, weighed heavily in favour of the injunction.","A strike is unlawful if it is called prematurely, without exhausting all reasonable negotiation efforts, particularly when the strike would cause significant harm to the public interest.  The balance of convenience and the public interest must be considered in deciding the legality of a strike.","This is an appeal of the decision in
Communications, Energy and Paperworkers Union of Canada v Bell Canada
.  On appeal Bell is arguing that the Canadian Human Rights Tribunal process is unfair because the Canadian Human Rights Commission makes regulations that the Tribunal must follow, and then appears in front of them seeking favorable decisions.  They claim that this constitutes a conflict of interest and a lack of necessary ""judicial"" independence.",Does the Canadian Human Rights Tribunal lack independence and impartiality because of the power of the Canadian Human Rights Commission to issue binding guidelines for them before they appear in front of them?,"Appeal dismissed, case to proceed to Tribunal.","The court recognizes that Bell's claims are not without merit, however after consideration they dismiss them.  The court held that Bell did not provide sufficient evidence for their claims and also because they misunderstand impartiality - it does not mean having the freedom to decide a case however one wishes to, being subject to certain binding principles is perfectly legitimate for an impartial judiciary.  Further, the Commission cannot create guidelines that favour them in the Tribunal, because to do so would be
ultra vires
their powers given in the
Canadian Human Rights Act
and the Tribunal is not bound by any such guidelines.  The powers that the Commission has to enact guidelines under
s.27(2)
and
s.27(3)
of the
Act
are constrained as all powers to create subordinate legislation are, and therefore the system is not flawed.","Having one's decisions bound by enacted guidelines does not affect impartiality.
Agencies cannot enact subordinate legislation outside of their delegated powers.",0.5764416456222534,0.2793278098106384,0.40585505962371826,0.46899688243865967,0.24253860116004944
OPENAI.gpt-4o,Catholic Children's Aid Society of Metropolitan Toronto v CM,I don't know,I don't know,I don't know,I don't know,I don't know,"The aid society took SM into protection on several occasions and supervised her mother, CM, on parenting skills. On consent, SM was made a ward of the society 1989. Throughout the wardship, the society continued to work with CM and facilitated regular visits with SM, however, bonding between mother and daughter remained minimal. In December 1989, after a second four-month wardship, the society brought a status review application seeking an order of Crown wardship without access for the purposes of adoption. CM opposed the motion and the matter was dealt with sporadically throughout 1991. In February 1992 the Ontario Provincial Court ordered that SM be returned to CM on the basis that court intervention was no longer necessary to protect the child. The judge considered CM capable of acquiring the skill to care for her daughter adequately. The society obtained a stay of the order and unsuccessfully appealed to the Ontario Court (General Division). The Court of Appeal granted a stay of the order for return pending appeal and a motion for the introduction of fresh evidence. The new evidence concerned the consistent and repeated assertions of the child that she regarded her foster family as her real family, that she did not want to see her birth mother and that attempts to implement access visits with CM had become almost impossible because of the child's negative reactions - emotional, psychological and physical.  It allowed the appeal, set aside the order for the return of the child to the mother and ordered that the child be made a Crown ward without access for the purposes of adoption. CM appealed to the Supreme Court.",Does the child need continued protection?,Appeal dismissed.,"L'Heureux-Dubé, writing for the court, reviewed the case law and determined that when a court is determining whether the wardship should be terminated or continue, the judge should not determine whether an order of wardship should have been made in the previous or earlier hearings, but instead
now
consider whether continuation of the wardship in the current proceedings is in the best interests of the child without overlooking the parents' rights.  The review hearing is not about retrying the original need for a protection order, but rather the court should determine the circumstances of the parents or parent since the last order as it relates to the situation with respect to the child's custody, including their physical, mental and emotional state since that time and also whether there is now a lifestyle, including attitudes of the parent, that warrants the child being returned to the parent or to wardship.
She lays out a two part test:
Does the child continue to need protection and require a court order for protection?
The children's aid society must continue to justify its intervention by showing that a court order is necessary to protect the child in the future.  This does not mean that an absence of proof of a deficiency in the parent's parenting capacity is enough to return the child to the parent.  A court order may be necessary to protect the child from emotional harm which would result in future if the child were taken from its psychological parents.
What is in the best interests of the children?
This should be decided through a balancing of the considerations such as the importance of the continuity of care, the child’s physical/emotional/psychological needs, the benefit of a child's bond to his/her biological parent, as well as psychological bonding of child to his/her foster family.
The furtherance and protection of the child’s best interests must take priority over the desires and interests of the parent.
The question is not merely whether the parent has seen the light and is now prepared to be a good parent, but whether or not the parent has, in factk turned a new leaf and whether he or she is now able to give to the children the care they require?
The children's aid society must continue to justify its intervention by showing that a court order is necessary to protect the child in the future.  This does not mean that an absence of proof of a deficiency in the parent's parenting capacity is enough to return the child to the parent.  A court order may be necessary to protect the child from emotional harm which would result in future if the child were taken from its psychological parents.
This should be decided through a balancing of the considerations such as the importance of the continuity of care, the child’s physical/emotional/psychological needs, the benefit of a child's bond to his/her biological parent, as well as psychological bonding of child to his/her foster family.
The furtherance and protection of the child’s best interests must take priority over the desires and interests of the parent.
The question is not merely whether the parent has seen the light and is now prepared to be a good parent, but whether or not the parent has, in factk turned a new leaf and whether he or she is now able to give to the children the care they require?
Applying this to the case at bar, she finds there remains a need for continued protection; the child has exhibited strong resistance to seeing her birth mother, and her birth mother has difficulty recognizing SM's emotional and physical needs.  Between the lack of bonding with the birth mother and the bonding with the foster family, it would be in the best interests of the child to be made a ward of the respondent society, with a view to her adoption by her foster family.",Two stage test for review of a protection order.,0.04315263777971268,0.07304511964321136,0.07708156108856201,0.056124333292245865,0.034477341920137405
OPENAI.gpt-4o,Edgeworth Construction Ltd. v N.D. Lea & Associates Ltd.,"Edgeworth Construction Ltd. (Edgeworth) and N.D. Lea & Associates Ltd. (Lea) entered into a contract for the construction of a building.  The contract contained a clause requiring Edgeworth to obtain certain permits and licenses, and Lea to inspect the work. A dispute arose regarding the responsibility for obtaining a specific, critical license.  The specifics of the contract and the nature of the missing license are not available from this information alone.",Who was responsible for obtaining the critical construction license?,The court held that Lea was responsible for obtaining the license.,"The court examined the specific wording of the contract, considering the responsibilities explicitly assigned to each party.  The judge's reasoning was based on the interpretation of the terms of the agreement,  drawing on accepted principles of contract law to determine which party held the obligation.  The specific details of the judge's interpretation and the evidence used to support the decision are not available from this information alone.","The responsibility for obtaining essential construction licenses is determined by the explicit and implied terms of the contract.  Where the contract is clear and unambiguous, the court will enforce the specified responsibilities according to the agreed upon terms.","Edgeworth Construction Ltd. was engaged in the business of building roads in British Columbia.  In 1977, it bid on a contract to build a section of highway in the Revelstoke area.  Its bid was successful, and Edgeworth entered into a contract with the province for the work.  Edgeworth alleges that it lost money on the project due to errors in the specifications and construction drawings.  It commenced proceedings for negligent misrepresentation against the engineering firm which prepared those drawings, N.D. Lea & Associates Ltd. as well as the individual engineers who affixed their seals to the drawings.",Is the defendent exempt from liability due to the intervention of the Ministry and their liability clause?,Appeal allowed.,"McLachlin, writing for the majority, holds that liability for negligent misrepresentation occurs when a defendant:
makes a representation,
knows it will be relied upon, and
it is relied upon.
When Edgeworth performed the construction it was relying on N.D. Lea, not the provincial government.  Following the provisions in
London Drugs
the court finds there was no express or implied protection of the respondent in the contract.  Further, unlike in
London Drugs
the respondent could have drawn up a contract that protected it from liability.","Employees who are not ""powerless"" will not benefit from an employer's exemption.",0.6866627335548401,0.26347631216049194,0.1560254693031311,0.4961809515953064,0.10068655759096146
OPENAI.gpt-4o,Miglin v Miglin,I don't know,I don't know,I don't know,I don't know,I don't know,"The parties were married for 14 years and had four children. They operated a resort lodge in Algonquin Park in the summer and lived in Toronto in the winter. Both parties worked in the business; the husband handled the finance and the wife the day-to-day operation of the lodge. When they separated in 1993, both parties were in their early 40s and all the children were under 8 years old. The wife wanted to stay home with the children given their ages. After around fifteen months of negotiation, the parties signed an agreement, wherein:
the husband kept the lodge and his start-up business;
the wife kept the matrimonial home in Toronto (worth approximately the same as the lodge at $250,000);
the husband would pay $60,000/year in child support;
a consulting agreement providing the wife with $15,000/year for five years, renewable on consent; and
a full and final release of any future spousal support claims.
After the divorce judgment was issued in 1997, the wife's childcare obligations changed and the consulting agreement was not renewed. She applied to the court for relief, including spousal support. The trial judge referred to the husband as ""manipulative"" and ""obsessive"". The application was allowed, child support was brought in line with the
Guidelines
and the wife was awarded support of $4,400/month for five years. The Court of Appeal affirmed the judgment regarding spousal support, and the husband was given leave to appeal to the Supreme Court of Canada.",When should a support agreement be upheld by the courts?,Appeal allowed; original support order stands.,"Arbour and Bastarache, writing for the majority, stress finality and certainty as key principles in support agreements, citing
s. 9 of the
Divorce Act
; these are contracts and as long as they were entered into openly, the courts should enforce them.
They state that when considering whether to uphold a support agreement, there is a two stage analysis:
The formation of the agreement
: was the agreement ""unimpeachably negotiated""?
Factors to consider:
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
Substance of the agreement: does the agreement remain in substantial compliance with the objectives of the
Divorce Act
?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
Agreement's correspondence to the parties' original intentions
: were the current circumstances anticipated when the agreement was drafted?
Foreseeability is interpreted broadly; circumstances do not have to have been explicitly considered/contemplated
Foreseeable circumstances include a change of job, assets going down in value, etc.
Factors to consider:
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
Substance of the agreement: does the agreement remain in substantial compliance with the objectives of the
Divorce Act
?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
representation by counsel: the degree of professional assistance received by the party is relevant, but a court should not presume an imbalance of power.
circumstances: was one or both parties vulnerable and if so, did presence of counsel rectify this vulnerability?
duration of negotiations: was the agreement negotiated over a reasonable amount of time?
The analysis should not be restricted to the spousal support component – look at the whole agreement; the agreement as a whole should substantially comply with the factors and objectives of the
Act
(including the principles of certainty, autonomy and finality).
An agreement can be modified to bring it in line with the principles in the
Act
.
Foreseeability is interpreted broadly; circumstances do not have to have been explicitly considered/contemplated
Foreseeable circumstances include a change of job, assets going down in value, etc.
Foreseeable circumstances include a change of job, assets going down in value, etc.
Generally, where negotiation of the agreement was correct and the agreement remains in substantial compliance with the
Act
, the court should defer to the wishes of the party and accord the agreement great weight.
Applying this to the case at bar:
Both parties had engaged the services of expert counsel and negotiations persisted over a lengthy period. Although the husband may have been the dominant party, the wife had adequate counsel; there was no hint of any vulnerabilities that might not be compensated by counsel.
The quantum of child support established in the agreement intended to provide the wife with a minimum amount of income in contemplation of her not working. While the wife argues that the business generates income, this was accounted for when the assets were valued and divided. The consulting contract reflects the parties' intention to provide the wife with a source of employment income for a limited time. The wife chose not to go back to the workforce, and had substantial assets even without support; there was no hardship or long-term disadvantage.
In the result, the original order should stand.
LeBel and Deschamps, in the dissent, stress very different concepts: interdependence and unequal bargaining power.  They propose a simpler test; is the agreement objectively unfair when considered now?
The dissenters disagree with the majority in two key areas.  One, the presence of counsel may not be enough to negate a power imbalance, and two, that very little deference should be given to agreements that deviate from the objectives in
s. 15.2(6)
of the
Act
; any fair agreement should reasonably realize the four stated objectives.","Establishes the test for enforcement of support agreements.
Miglin
applies only to final spousal support agreements.  A final agreement is one which limits the amount or duration of support or waives support entirely; it does not contemplate variation.",-0.058116476982831955,0.006134040653705597,-0.024141553789377213,-0.06369180977344513,0.04074213281273842
OPENAI.gpt-4o,Dobson v Dobson,"The case involved a dispute over the interpretation of a will.  The facts are not readily available in a standard public source, and may be specific to a jurisdiction.  More context about the will and the relationships of the parties involved is necessary.",What was the exact legal issue raised by the parties in the Dobson v Dobson case?,I don't know,I don't know,I don't know,"Cynthia Dobson was a pregnant woman.  While in the 27th week of pregnancy she was driving her car when her negligent actions caused a car accident.  The fetus was permanently injured, and was born prematurely that day.  Her son, Ryan Dobson, suffered physical and mental injuries, including cerebral palsy.  His grandfather launched a tort claim for damages against his mother.  Ryan was successful at the Court of Appeal, which his mother appealed.",Should a mother be liable in tort for damages to her child arising from a prenatal negligent act that allegedly injured the fetus in her womb?,Appeal allowed.,"Cory, writing for the majority, finds that the mother should not be held liable in the situation because of the policy implications.  They employ the
Kamloops
test to determine if a duty of care should be owed.  It has two parts:
Is the relationship between the two parties close enough to create a reasonable duty?
Are there any public policy implications that should negate or limit the scope of the duty?
They find that the first part is satisfied; however the public policy implications negate the duty.  They state that there are two main reasons for this: it would violate the privacy and autonomy of women, and it is impossible to judicially define a reasonable standard of conduct for pregnant women.
McLachlin, in a concurring judgment, states that another main reason why this duty cannot be imposed is that it would violate pregnant women's rights under the
Charter
– specifically liberty and equality.  They would lose their liberty, and not be treated equally with other women in society.
Major, in the dissent, states that in order for the public policy implications to negate the duty they must add new restrictions on what the woman can do.  He says that this is not the case, because she had a duty of care to everyone else on the road, and extending that to the foetus would not change the reasonable standard of her conduct.  He says that this case deals specifically with pregnant women driving automobiles, and if the creation of duty imposed a limitation on her actions that was not there previously then the outcome would be different.  He uses the example with another pregnant woman in the car – if the same outcome occurred, then there is no question that the other woman's foetus could sue her for negligence.  He agrees that the
Kamloops
test applies, but says that the policy implications here do not negate the duty.","Pregnant women do not owe a duty of care to the foetus in their womb.
The test to determine if a duty of care is owed has two parts:
Is the relationship close enough to create a reasonable duty?
Are there public policy grounds to negate or limit the scope of the duty?
Is the relationship close enough to create a reasonable duty?
Are there public policy grounds to negate or limit the scope of the duty?",0.49470269680023193,0.3043771982192993,0.06731779873371124,-0.0057280054315924644,0.0798090249300003
ANTHROPIC.claude-3-opus-latest,Calder et al. v British Columbia (Attorney General),Frank Calder and other Nisga'a Nation members sought a declaration that aboriginal title to certain lands in British Columbia had never been lawfully extinguished.,Did the Nisga'a Nation have aboriginal title to lands in British Columbia that had not been extinguished by the government?,"The Court was evenly split, with three justices ruling in favor of the Nisga'a Nation and three justices ruling against. Therefore, the Nisga'a Nation's appeal was dismissed on a technicality.","The justices in favor found that the Nisga'a Nation had aboriginal title that had not been extinguished. The justices against found that whatever title the Nisga'a Nation may have had, it had been extinguished by colonial laws prior to British Columbia joining Confederation in 1871.",Aboriginal title can exist in British Columbia if it has not been extinguished by the government through clear and plain legislation or treaties.,"The appellants are representative of the Nishga Tribe of British Columbia.  They claim that the aboriginal title over a piece of land in British Columbia that had been present before Confederation had never been extinguished, and that the tribe therefore still had title to the land.  This claim was denied at trial and upheld at appeal.","Do the alleged aboriginal land claims exist?
If the claims exist, were they extinguished?",Appeal dismissed.,"At trial and upon initial appeal the courts decided that if there ever was aboriginal title, it was surely extinguished upon confederation.  The Supreme Court holds that aboriginal title definitely exists, however they were split over whether or not it had been extinguished.  The majority decided that it has been extinguished by virtue of the government's exercise of control over the lands, and therefore the appeal is dismissed.  However, the dissenting judges disagree and state that more must be present to prove that the lands were extinguished.  They say that the provincial government did not have any constitutional right to deal with the land of the aboriginals, and that their predecessors before confederation did not do anything that could amount to extinguishing the lands.","Recognition of aboriginal title.
Aboriginal land claims are extinguished once government exercises control over the lands.",0.7148317098617554,0.6340737342834473,0.5092048645019531,0.7220929861068726,0.6547979116439819
ANTHROPIC.claude-3-opus-latest,E. (Mrs.) v Eve,"Mrs. E, while heavily intoxicated, entered a bar and told people she intended to drive home. The bartender was instructed to call the police if she tried to drive. When Mrs. E left the bar and got in her car, Eve went to stop her from driving and a confrontation ensued where Eve tried to grab Mrs. E's keys. Mrs. E accelerated, resulting in Eve being thrown off and injured.",Is Mrs. E liable for Eve's injuries from being thrown off her car?,"Yes, Mrs. E is liable for Eve's injuries.","Mrs. E, while intoxicated, tried to drive and created a dangerous situation. Eve was acting as a rescuer trying to prevent Mrs. E from driving drunk. Mrs. E then accelerated, directly leading to Eve's injuries.",A person who negligently creates a dangerous situation that invites rescue is liable for injuries sustained by the rescuer.,"Eve was a 24 year-old mentally disabled woman living in PEI with a condition that made it very difficult for her to communicate with others.  She was sent away from her mother, who cared for her, during the week so that she could attend a special school.  Her mother was seeking the court's permission to perform a sterilization procedure (hysterectomy) on her daughter.  There was considerable evidence that the daughter would be incapable of handling the burdens of motherhood.  Eve had struck up a friendship with a boy from school, and discussed marriage, and her mother is afraid of the burden that would be placed on Eve, and ultimately upon herself to look after a child if pregnancy ensued.  Permission was denied at trial, but granted at the Court of Appeal.",Can a caregiver for someone incapable of giving informed consent make decisions about surgeries for the incapable individual?,Appeal allowed.,"La Forest, writing for a unanimous court, discusses the history of
parens patriae
jurisdiction, which states that the state is responsible for decisions concerning those that cannot give informed consent themselves. He says that the test is generally that the only procedures that will be allowed are ones that are in the ""best interests"" of the protected person. He focuses his criticism in this case on the fact that Mrs. E. is claiming that the burden on her to look after the child should be considered in making the decision. La Forest states that this should be given no consideration, as it is only the best interests of the protected person that are of concern.
He also says that arguing about the protected person's fitness as a parents involves value-loaded questions that result in a designation of disabled persons as less competent parents, even though there is significant evidence showing that they show as much fondness and concern for their children as anyone else. He also considers that the procedure of a hysterectomy is serious surgery and quite invasive, and further that Eve does not require assistance caring for her reproductive cycle, which is a concern in other cases. Perhaps most importantly, this surgery is not therapeutic.
La Forest concludes that ""the grave intrusion on a person’s rights and the certain physical damage that ensues from non-therapeutic sterilization without consent, when compared to the highly questionable advantages that can result, [show that] it can never safely be determined that such a procedure is for the benefit of the person."" The procedure should never be authorized for non-therapeutic purposes under the
parens patriae
jurisdiction.","Non-therapeutic surgeries can never be determined to be for the benefit of a person who is incapable of giving informed consent.
It is only the best interests of the disabled person concerned that are of importance; concerns of others should not be considered.",0.5789753794670105,0.2699916660785675,0.11158546805381775,0.3062848150730133,0.2334667146205902
